,importance
mobility_stm,0.13478546172779993
wk_rank,0.0781519923090555
wk_file,0.07699829702994163
bk_file,0.07659840722491107
bk_rank,0.07658081014098311
bk_center_dist,0.07122424734184538
wk_center_dist,0.07001274156837556
king_distance,0.06723921111257253
mobility_other,0.06632635608142018
w_center_control,0.0637321238534755
b_center_control,0.062454424023409366
w_attackers_near_bk,0.037716254289207864
b_attackers_near_wk,0.0366700283733504
white_to_move,0.027051795430682656
in_check,0.01987013902171055
b_rooks_2nd,0.017998128627652696
w_rooks_7th,0.016589581843606215
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
