,importance
mobility_other,0.1499719888549008
mobility_stm,0.14865336783960284
halfmove_clock,0.08708789874611868
fullmove_number,0.08187263127492096
b_center_control,0.0528858339647023
wk_pawn_shield,0.04289374575260716
w_center_control,0.04186744588446135
bk_pawn_shield,0.03820662853563338
b_most_advanced_pawn,0.03502641573906977
total_material,0.03429609039600953
w_most_advanced_pawn,0.028829321873414412
white_to_move,0.028711530139723683
b_p,0.019235516222960346
wk_file,0.01849557503862296
w_p,0.018329656853710373
w_isolated_pawns,0.01573983180229966
wk_center_dist,0.014859391646308824
material_balance,0.014673421312606228
bk_file,0.012834596221998567
bk_center_dist,0.012273457820807892
diff_p,0.010701166740256951
b_isolated_pawns,0.009350013323540804
w_n,0.008818135915892209
b_n,0.008321493429883727
diff_n,0.007739815027346393
w_doubled_pawns,0.00673731489573012
diff_b,0.006392834151961863
b_doubled_pawns,0.005130245584324945
bishop_pair_b,0.004597541040451667
w_rooks_open_file,0.004465682157941619
b_b,0.0043017115383049845
b_rooks_open_file,0.004301565463289734
w_b,0.0040829956958875376
bishop_pair_w,0.003519689320453056
w_passed_pawns,0.0027486614354011694
w_q,0.0021017914284055935
b_q,0.00207753905167015
w_attackers_near_bk,0.0020589941130865945
b_passed_pawns,0.0015225479061278704
b_attackers_near_wk,0.0010597638943497583
in_check,0.0008600076410367833
diff_q,0.0005846746478236082
king_distance,0.0005268441184083381
diff_r,0.00045663955482584765
b_r,0.00039855781295183005
wk_rank,0.00026917545668763034
bk_rank,0.00011639964309865805
w_r,1.3853090380969421e-05
w_rooks_7th,0.0
b_rooks_2nd,0.0
