feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.14171941478370137
mobility_other,1,1.0,0.1499719888549008
halfmove_clock,1,3.0,0.08708789874611868
fullmove_number,1,4.0,0.08187263127492096
wk_rank,1,2.0,0.0781519923090555
wk_file,1,3.0,0.07699829702994163
bk_file,1,4.0,0.07659840722491107
bk_rank,1,5.0,0.07658081014098311
bk_center_dist,1,6.0,0.07122424734184538
wk_center_dist,1,7.0,0.07001274156837556
king_distance,1,8.0,0.06723921111257253
b_center_control,1,5.0,0.0528858339647023
wk_pawn_shield,1,6.0,0.04289374575260716
w_center_control,1,7.0,0.04186744588446135
bk_pawn_shield,1,8.0,0.03820662853563338
