,importance
mobility_stm,0.12578126991565167
bk_rank,0.08000059189990057
wk_file,0.07925258864800719
wk_rank,0.07891031710592782
bk_file,0.07653688137674397
bk_center_dist,0.07100805365330641
wk_center_dist,0.07068757415089448
king_distance,0.0697828123675931
b_center_control,0.06685242619950182
w_center_control,0.062071077405509066
mobility_other,0.0597501611359935
b_attackers_near_wk,0.03996464053984661
w_attackers_near_bk,0.03765368955517641
white_to_move,0.0274907318455298
w_rooks_7th,0.018681268792752757
b_rooks_2nd,0.01833601533217052
in_check,0.01723990007549439
fullmove_number,0.0
diff_q,0.0
b_q,0.0
w_q,0.0
diff_r,0.0
b_r,0.0
w_r,0.0
diff_b,0.0
b_b,0.0
w_b,0.0
diff_n,0.0
b_n,0.0
w_n,0.0
diff_p,0.0
b_p,0.0
w_p,0.0
halfmove_clock,0.0
b_passed_pawns,0.0
w_passed_pawns,0.0
total_material,0.0
material_balance,0.0
bishop_pair_b,0.0
bishop_pair_w,0.0
w_isolated_pawns,0.0
b_isolated_pawns,0.0
b_rooks_open_file,0.0
w_rooks_open_file,0.0
b_most_advanced_pawn,0.0
w_most_advanced_pawn,0.0
b_doubled_pawns,0.0
w_doubled_pawns,0.0
bk_pawn_shield,0.0
wk_pawn_shield,0.0
