,importance
mobility_other,0.14837958700921805
mobility_stm,0.14631828131692276
fullmove_number,0.08352229043226693
halfmove_clock,0.08251063889856959
b_center_control,0.054723862916892026
wk_pawn_shield,0.040627743167130796
bk_pawn_shield,0.04039846859610117
w_center_control,0.04022782852644472
b_most_advanced_pawn,0.035906813177952177
total_material,0.0337748468284403
w_most_advanced_pawn,0.028965238649394088
white_to_move,0.02813040755043829
b_p,0.01989890844469374
wk_file,0.019255945324141183
w_p,0.018930899015298555
w_isolated_pawns,0.016442364176387055
wk_center_dist,0.015298482278793726
bk_file,0.015028533417937862
bk_center_dist,0.01402688682784702
material_balance,0.013976726730973487
diff_p,0.011409032550528974
b_isolated_pawns,0.010301758565857463
b_n,0.008832054892963662
w_n,0.008304382728998135
diff_n,0.007336336442576962
w_doubled_pawns,0.006999889911271998
diff_b,0.005589497572197251
b_doubled_pawns,0.005475629565145351
b_rooks_open_file,0.004621714192735355
w_rooks_open_file,0.00447111145477311
bishop_pair_b,0.004086693477144339
b_b,0.004055202889912357
w_b,0.003593263048256745
bishop_pair_w,0.00332867758918742
w_passed_pawns,0.003248922842616471
b_passed_pawns,0.0027156591504433453
b_q,0.002076735949945299
w_q,0.0019120453956687168
w_attackers_near_bk,0.0019092246002793657
in_check,0.0011099841386679474
b_attackers_near_wk,0.0011074249422983705
king_distance,0.00042383551805383487
diff_q,0.0003650095417651091
wk_rank,0.0002564340940625572
bk_rank,9.292175813355393e-05
diff_r,1.8385208876049975e-05
w_r,1.3418691796800557e-05
b_r,0.0
w_rooks_7th,0.0
b_rooks_2nd,0.0
