feature,n_sources,mean_rank,mean_importance
mobility_stm,2,1.5,0.13604977561628723
mobility_other,1,1.0,0.14837958700921805
fullmove_number,1,3.0,0.08352229043226693
halfmove_clock,1,4.0,0.08251063889856959
bk_rank,1,2.0,0.08000059189990057
wk_file,1,3.0,0.07925258864800719
wk_rank,1,4.0,0.07891031710592782
bk_file,1,5.0,0.07653688137674397
bk_center_dist,1,6.0,0.07100805365330641
wk_center_dist,1,7.0,0.07068757415089448
king_distance,1,8.0,0.0697828123675931
b_center_control,1,5.0,0.054723862916892026
wk_pawn_shield,1,6.0,0.040627743167130796
bk_pawn_shield,1,7.0,0.04039846859610117
w_center_control,1,8.0,0.04022782852644472
